Comment,Sentiment
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=27m09s"">27:09</a> best part😂😂😂😂",1.0
Awesome performance,1.0
Ye vala show mujhe sbse best lga aaj tk ka 😅😅😅,1.0
Awesome ❤🥰🥰,1.0
Best ever video 😂❤,1.0
Probably the best stand up comedy,1.0
Best video ever . ❤❤❤❤,1.0
This video is the best video of my life 😂😂😂😂😂🎉,1.0
U r just perfectly amaaaaaazing ❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅,1.0
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=23m00s"">23:00</a> Chai one was one of the best 😂😂😂😂",1.0
"Superb bassi sir , one like for him yrr❤",1.0
It&#39;s his one of best stand up,1.0
Best stand up ever,1.0
The best I have ever seen 😄🤩,1.0
This is one of the best comedy....Gazbbbb @AnubhavSinghBassi 🥳🥳🥳🥳🥳❤️❤️❤️❤️❤️,1.0
Best ever ❤❤,1.0
Bhai ab tak sabse best video hai 😂😂😂😂,1.0
Best of best 💯❤,1.0
Ending point awesome* आज से तेरी रैंक 3😂😂😂,1.0
Best for upsc aspirants,1.0
Bhaisahab yeh wala sabse best tha😂😂😂,1.0
Best of Best❤,1.0
Yrr kya tha ye time itni teji se nikalta h aaj pta chla itna awesome tha yr 😅😅😅,1.0
Awesome 🎉,1.0
Awesome 😎 bhai😂,1.0
This is the best stand up I have ever heard. Hats off to you officer. 😂😂😂,1.0
Sahab aaye hain was best 😂😂😂😂😂😂,1.0
Awesome 😂,1.0
"37 minutes of continuous laughter 😂 it couldn&#39;t be any better....be it content, delivery, timing everything is just perfect The bassi nailed it once again 🔥  you are the best",1.0
Dude😭😭😭😭😭😭😭🤣🤣 the best,1.0
Best h bhai❤❤❤,1.0
"😂😂Oh,God! Couldn&#39;t stop laughing!<br>No vulgarity, just a superb artist.🙌",1.0
Best part was haraaami ooonth 😂😂😂,1.0
No doubt he is the best stand-up comedian 👌🔥💯,1.0
😂 Awesome,1.0
Why did this have to end?! Loved every moment! Bassi is the king!,1.0
You can literally visualise the characters of his story. Awesome storytelling ❤😊,1.0
Bhai legendary level,1.0
Bassi is just tooo good ! What a script &amp; what Dialogue Delivery !!! Bassi is the Best ❤,1.0
Awesome bro,1.0
Bhai awesome!!!!,1.0
Best ❤,1.0
He is literally the best story teller 😂😂,1.0
Superbb... The best,1.0
Best 🤣🤣,1.0
Congratulations Officer you got promotion for your marvelous work 🎉,1.0
"Good comedy, Officer !!",1.0
Superb Comedy,1.0
I invested my time to watch one of the best stress relief thing during exams😂😂,1.0
Wowow yarrr ♥,1.0
Your jokes.... expression and story impressive ❤❤,1.0
Kaal ke show (12th August) Hyderabad show ke liye all the best. Milte hai show pe 😂. Baas ek selfie de dena bhai… 😂😂😂😂😂,1.0
"till now this was the best one <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",1.0
Best he e...😅😅😅,1.0
Stress wali lyf ke kch best 37mins❤🫂,1.0
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=8m08s"">8:08</a> Best standup ever 😂",1.0
Chappelle and Bassi are two best story tellers the world has ever seen.,1.0
Superb,1.0
Best Best 😂😂👍👍,1.0
Superb,1.0
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=19m24s"">19:24</a> 🤣🤣🤣🤣 best taste explanation of RS bc",1.0
Superb,1.0
Best video ever,1.0
Bassi the best,1.0
awesome,1.0
Best of the best ka winner ka board academy koi Dena chahie aur koi desire nahin karta hai,1.0
@theexperimentelchora best upsc ki tyari ka trika,1.0
27:5 is best scene,1.0
"You are hilarious! No words for your talent!! Best comedian ever.<a href=""about:invalid#zCSafez""></a>😍",0.98828125
I was in library and couldn&#39;t hold my laughter. Love his works!!!,0.9765625
brilliant bassi bhai.... what a wonderful performance...he is one of the best in business nowadays,0.9666666666666667
"God... Amazing, officer Bassi!!",0.9375000000000001
Incredible logic with incredible person superb yaar 😂,0.9333333333333332
Very talented guy 👏<br>Love from Nepal❤,0.9099999999999999
"I died of laughter and when I came out of room my grandmother said &quot; haste Raha kar acha lagta hai &quot; , I almost got tears of joy. Your work even made my grandmother happy!",0.9
"How Bassi paints the characters, you can literally visualize everything that was happening! That&#39;s the art of great story-telling. Wonderful!",0.9
"How Bassi paints the characters, you can literally visualize everything that was happening! That&#39;s the art of great story-telling. Wonderful!",0.9
Just an incredible laughing show 😂❤🎉,0.9
Bhai 2 beer ke baad dekhne ka... Awesome. I didn&#39;t use to like stand up comedy but this is awesome. I am loving it with momos in my hand...,0.8666666666666667
laughed a lot excellent delivery by Anubhav stand up comedy at its best😂🤣❤,0.85
He is just awesome..very much talented in his flawless story telling style ❤Salute officer 🫡,0.85
Bassi ki best performance h bhyii yeh..just loved it..pta hi nhi chla kb 37 mins beet gaye❤👍😂 buddy mza aa gaya.,0.85
beautiful sharing,0.85
Making a 37 min video feel like just 5 minutes requires incredible effort. Amazing Content!,0.8250000000000001
ROFL!!! <br><br>Been an aspirant and now teaching UPSC aspirants for 13 years!<br>Most relatable! Most entertained! <br>🤜🤛,0.8125
I will never seen this type of stand-up comedy in YouTube history your great dada ❤ and your work and your ability to make happy all the family members of your YouTube ❤❤,0.8
Just amazing you are the best bassi saab❤,0.8
Too nice brother <br><br><br>How had you composed this<br><br><br>Too awesome,0.8
bassi is great 😂,0.8
Bassi sir koi bhi humko beat nhi kr shkta u r always great,0.8
Bassi Bhai great 👍,0.8
Great motivation for UPSC aspirants 😂😂😂😂,0.8
Great job.... 👍,0.8
Basi sir you are the great 🙌😂😂😂🤣🤣 do bari dhekh liya hai fir bhi pet dukhne lagata hai has has kr 🤣🤣🤣😂😂😂😂😂,0.8
Bassi tussi great ho 👏👏👏,0.8
Tusi great ho bhai😂❤,0.8
Bhai great 😃👍<br>UPSC wale ne Case kar diya h es video par..but court wale ne khariz kr diya,0.8
Great job officer,0.8
Great ho yaar aap,0.8
Tussi great ho paaji,0.8
Great one,0.8
Great brdr,0.8
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=26m05s"">26:05</a> lol no one got that joke 😂",0.8
great,0.8
"Bassi is seriously great. His lines delivery, comedy timing everything is soooo perfect. <br>Best best best. <br>Waiting to attend his live show sometime. <br>First row mein beith k khudka katwana hai literally 🤣🤣",0.7872727272727272
This is the lengthiest yet yummiliciously hilarious standup comedy ever seen on YouTube!! 🥳🤩🤩,0.78125
"Who knew UPSC preparation could be this hilarious? 😂 Anubhav Singh Bassi nails it with his stand-up comedy on the ups and downs of cracking UPSC! 🎭 Don&#39;t miss this laughter-packed ride! 👉 <a href=""http://www.youtube.com/results?search_query=%23upsccomedy"">#UPSCComedy</a> <a href=""http://www.youtube.com/results?search_query=%23anubhavsinghbassi"">#AnubhavSinghBassi</a> <a href=""http://www.youtube.com/results?search_query=%23standupcomedy"">#StandUpComedy</a>",0.78125
"Bassi&#39;s best standups- Cheating, Roommate, Waxing, Hostel and yes one more added in the list &#39;UPSC&#39; ❤️",0.75
Best 37 minutes!! Thank you Bassi :),0.75
best 37 minutes of my life .. ❤lots of love from pakistan,0.75
Laughed my heart out after so long😅😅😅😅 great content,0.75
Best stand up I have ever enjoyed...,0.75
I am watching this on loop😂😂😂 and the way he says &quot;Broker bhaiya&quot; Is hilarious.. 😂😂😂 vo vaishno devi and upar bhairo baba... 😂😂😂 He is just awesome ❤,0.75
Wonderful. I thoroughly enjoyed each punch line,0.75
Kept me laughing nonstop. Extremely hilarious.. superb content. 🤣,0.75
Best story teller of all time. Love from Lahore ❤,0.75
"Wonderful comedy, heart touching representation 👌👌👌👌👌",0.75
"&quot;Officer, peanuts de naa!!!&quot;<br>Bassi is the best! Love from 🇧🇩",0.75
Yaar Bassi ji is just too good! Love from Sikkim!,0.75
Best  Bassi 🤍🤍..... Love from Bangladesh 🌼...,0.75
Wise story teller with great Humour 😊,0.75
"Very nice ,  song too good",0.74
Preparing for upsc.Came to watch this because our sir keeps quoting him in our coaching class !!😂😂<br>Too good,0.7
LAUGHED MY HEART OUT AFTER SO LONG!!!⚡❤,0.7
You’re inspiration for millions out there.. “Comedy with a mindful content is not everyone’s cup of tea.” Good going,0.7
My goodness I watched this show again today and burst with laugh… too good man…loved this show ……❤❤,0.7
Extremely talented ❤and expressing it like sun❤love you bro 🎉😂💯,0.7
I laughed a lot after watching this... Really loved ut❤😂,0.7
Loved it bassi ... u rock bro😊,0.7
genuinely loved it 😂🤣,0.7
Too good ❤,0.7
You are too good bassi❤️,0.7
&quot;Mujhe chaukh de&quot; was ultimate....really loved and laughed.,0.7
Loved this one ❤,0.7
Well done officer... Good job 👍,0.7
I rolled on the floor and laughed at “achha bendi ke paratha banao” “do hexagon banao jaa “ 😂😂,0.7
6.4m views in day speaks volume for this talented guy.. Keep it up bassi,0.7
Loved it ❤❤❤😂😂😂😂😂,0.7
"I can&#39;t tell that I laughed all the 37 minutes continuously officer no 1,2and 3",0.7
This is called comedy ... Laughed like hell 😂😂<br>Another masterpiece by officer bassi😅,0.7
&quot;Muje chonk de budiya &quot;was too good 😂😂,0.7
loved it 🤩,0.7
Laughed throughout the video 😂😂😂😂😂,0.7
"Too Good bhai.. no one can beat you...<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",0.7
He came fully prepared this time and nails the scene<br><br>Keep the good content coming basi,0.7
Awesome yarr dil Jeet lia genuinely I feel mine rank4😂😂😂😂😂,0.7
&quot;Muje chonk de budiya &quot;was too good 😂😂,0.7
Officer you are good 😂,0.7
"His way of telling stories in sequence is amazing.<br>Too Good, Hats off Bassi...😍",0.7
Oooo bhai 😆😂 • Pet dard krne lga yrr 😂🤭 • 37 Minutes ka pta hii nhi chala 😆😅 • Good 👍♥️,0.7
"One salute to a well deserved officer. Too good content, this <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=37m26s"">37:26</a> min was one of the funniest moments.<br>Enjoyed alot, hope to see you soon live.<br>Love from Bihar❤️🌼<br>No one can beats bassi vibe✨🔥",0.7
Good swiming officer 😂,0.7
So good 😂🤌,0.7
I was continuously laughing for 37 min 🤣🤣 this is too good 💯,0.7
"Amazing, just amazing! 🚀🩷",0.675
"Very Fine, Be Happy,",0.6708333333333334
"He is not telling us jokes , he is telling us a story, His experience and it&#39;s exceptional ❤",0.6666666666666666
Best Standing Comedy  With Similar voice. ..of Sani Deol sir <br>&amp; Wonderful Performance 🌹💐<br>Thank you Bas kar bassi,0.6666666666666666
"best ever best... kitne baar v sunlo isko... same feeling ,,🤣😂🤣😂🤣",0.6666666666666666
Uffff!!!! What a show. Best 37 mintues totally worth it!♥️♥️,0.65
Superb ❤ i laugh a lotttt 😂😂😂😂,0.65
Laga 37 min suna nahi ..ek movie ki tarah sab samne chal Raha hai... laughed soo much..<br>Ravi Gupta ka OFFICE aur PARENTS ne bhi khub hasaya tha.. but this one is just amazing.,0.65
very entertaining stand comedy .<br>11-08-2023,0.65
Highly impressed officer. Damn good content and punch timing. Thanks for giving me 37 minutes of happiness ❤,0.6499999999999999
Brilliant. Scrip is very powerful but story telling is on another level,0.645
&quot;😂 This video is an absolute laughter explosion! Can&#39;t stop smiling watching all the joy and happiness! 😄👏&quot;,0.6416666666666667
Thank you soo much for this video! Laughed my ass out! Please upload more!!,0.6354166666666666
"I LAUGHED THE WHOLE 37 MINUTES MAN, YOU ARE ONE OF A KIND BASSI!!!!!",0.6333333333333333
Just wow. Bassi Bhai great story. Best stand up comedian ever❣️❣️🔥🔥,0.6333333333333333
One of the best standup comedy i have ever watched ;),0.625
"I guess this one was one of his best. Mostly all lines in this 30 mins video were punches, hats off to you brother. Awesome job! Entire India loves you ❤",0.625
Pure humour is rare these days! No vulgarity is the best part about this! Loved it!,0.6160714285714286
Wow!!! Never ever  have I  laughed continuously for a  stand up comedy video. This man has an impeccable  talent! 🙏,0.6109375
&quot;Bassi&#39;s comedic genius never fails to brighten my day! 😂👏 Always looking forward to more laughs from this incredible talent! 🎉&quot;,0.6041666666666666
His Storytelling is Amazing. He just Kept the audience for 37 minutes in the era of 15 seconds Videos,0.6000000000000001
Nothing to say Just salute to you Officer 👮 ... What a Gem of stand up comedy world.. Amazing experience ❤,0.6000000000000001
Just Amazing 😊can’t stop laughing 😂 salute to you officer 😁,0.6000000000000001
The way he connected the context throughout his story is amazing.,0.6000000000000001
amazing man!!<br>keep it up❤😊,0.6000000000000001
You are just amazing sir ❤,0.6000000000000001
Hats off to this amazing and brilliantly spontaneous guy 😂,0.6000000000000001
Amazing standup 🤣❤️,0.6000000000000001
kya likhte ho yaar amazing bassi bhai maza aagya❤,0.6000000000000001
Amazing stand up 👏👏,0.6000000000000001
You were amazing as always 😂,0.6000000000000001
Bassi bhai you are amazing 👌👌♥️,0.6000000000000001
amazing bassi 🔥🔥,0.6000000000000001
No one can beat Bassi ...he is just amazing 🎉😁,0.6000000000000001
Amazing video ❤❤❤,0.6000000000000001
Amazing ❤,0.6000000000000001
Amazing 🤩🤩🤩🤩🤩 dil khush kar  ditta,0.6000000000000001
Amazing ❤❤❤❤❤,0.6000000000000001
Amazing 😊,0.6000000000000001
Amazing 😂❤,0.6000000000000001
"Being the wife of an IPS officer I am laughing like hell, these 37 minutes were an amazing tour on a laughter ride 😂",0.6000000000000001
amazing comedy<br>Big fan from Bangladesh 🇧🇩,0.6000000000000001
Amazing 😂😂😂,0.6000000000000001
Amazing 😂😂😂m speeches 😅😅,0.6000000000000001
Amazing content,0.6000000000000001
Are are amazing  bro😂🤣🤣🤣♥️,0.6000000000000001
Amazing 😂,0.6000000000000001
Amazing Bassi  🫡,0.6000000000000001
😂 amazing,0.6000000000000001
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=15m55s"">15:55</a> &quot;Uthe To Uthe Nahi Uthe To Chal Base&quot; Was Amazing 🤩😅😂❤❤❤😅 O Bassi Bhai Ek Hi Dil Hai Kitne Baar Jitoge ❤",0.6000000000000001
amazing one,0.6000000000000001
Amazing,0.6000000000000001
One of the best stand up I&#39;ll seen In my whole life 😂😂,0.6
You are best stand up comedian basssi .. I laughed so much after so many days salute you officer,0.6
Thank you Bassi after so many day’s I laughed this much…awesome content,0.6
Awesome story telling for straight 37 minutes. Hats off,0.6
&quot;mujhe jokh de bhudiya&quot; was hilarious man loved it❤❤❤,0.6
Nice video officer 👍😁,0.6
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=31m28s"">31:28</a> Prelims 2016 Set-A Question No- 45 about “Musa indandamanensis (A kind of Banana tree)”",0.6
Nice officer😂😂😂,0.6
Nice video,0.6
Nice video,0.6
nice,0.6
nice,0.6
Original talent great Bassi❤❤❤😂😂😂,0.5875
"Many of us might have a lot more funnier stories than him but surely we don&#39;t have storytelling skills like him, great comeback bassi.",0.575
I love your humour and the way you talk... its too good... love from Pakistan ❤️,0.5666666666666667
"Laughed for all the 37 minutes.... that&#39;s the magic of bassi. Love you bro, keep uploading these masterpieces",0.5666666666666667
"Apart from his comic timing, he is easily one of the best storytellers!",0.5611111111111111
Great bassi sir 🔥 millions of people laugh because of you ❤,0.55
Incredible man. Really appreciated,0.55
I love you bassi ❤❤❤.....you are amazing  😘😘,0.55
Best comedy so far 😂,0.55
Bassi knows how to write and deliver his work in the most amazing way ❤️🔥,0.55
"enjoyed a lot...... The greatest comedian,,,,,,,...... no boring adult jokes..... maza agaya yar....... keep up the good work.... love and respect...............",0.5499999999999999
Pure Comedy. Loved Loved It.,0.5380952380952381
"Bassi is amazing, can&#39;t stop laughing non stop .   Most hilarious 37 min of my life 😂😂😂😂",0.5333333333333333
Haven’t seen such an amazing stand up till date. Superb Bassi Bhai ✅✅,0.5333333333333333
"By far, the best standup including Hostel.... No one can be a &quot;Be a Bassi&quot;. He is gifted.",0.5333333333333333
No vulgar language just pure comedy 🔥🔥🔥🔥Bassi at its best 😅😅😅😅,0.5214285714285715
&quot;Muje chonk de budiya &quot; was too good 😂😂 the whole video was very good pure 37 min bhaut hasi 😂,0.5060714285714285
Outstanding 😂😂<br><br>One of my favourite vedio ever 😂😂 37 min face ki sari exercise krwa di 😂,0.5
No one can beat this man bassi love you😂😂❤,0.5
Love you Bassi paaji....❤🥇,0.5
"My uncle is an ias officer,i watched this video with him i have never seen him laughing this more ❤",0.5
Love the way you tell story man ❤,0.5
This 37 minutes and 26 seconds.... Literally ❤❤❤ love for you,0.5
I have watched this video 4 to 5 times . absolutely hilarious,0.5
Fact: Bassi does a comeback when we need it the most.,0.5
Laughed for the complete 37 mins Good Job officer,0.5
Well done BASSI.. I thoroughly enjoyed it. 👍,0.5
The best stand up comedy award of the 21st century should be given to this video,0.5
Outstanding brother 😃😃😃,0.5
Bassi veeere love u ❤ parmatma tnu hmesha khush te chardikla ch rkhe ❤️❤️😘,0.5
Bhai Bassi kamaal kar diya. 37 minute k baad bhi aisa lga k bas itna hi tha. We need part 2 of this episode. Love from Canada. ❤,0.5
Enjoyed a lottt mannn..... Keep it uppo😂😂😂😂😂,0.5
"😂😂 the funniest standup in my life, love from NEPAL",0.5
Outstanding performance 😅😅😅😅 उल्टा-पुल्टा सड़ा कमबख्त UPSC 😅😅,0.5
"<b>You crack me up, well done Officers</b> 😂😂😂 <b>bht sara Love from Dharti se</b> 😂❤️❤️👌",0.5
I would say this is the most funniest video on yt till now literally my cheeks are hurting now broo come on 😂🤣😭,0.5
Then he Made &quot; Buddy &quot; famous and now he came with &quot; Officer &quot; 😂😂😂😂😂♥️♥️,0.5
Grand salute to you Officer 🫡😂,0.5
I watched it more than 10 times but never stop laughing,0.5
One of the best video in entire life❤,0.5
Love you bassi stay blessed 🙋❤️🍫,0.5
37 minutes is like 37sec 🤣🤣🤣 love it 🤞,0.5
Outstanding sirr🥰,0.5
"that camel one 😂😂😂😂 omg!! no one can beat you in storytelling bassi, not today not tomorrow and never in this era!!! More power to you ❤️❤️❤️",0.5
This was hilarious 😂😂,0.5
Osam video. I love it❤❤,0.5
Laalan top ka interview dekh k yha puche hai... Brother ur a masterpiece. U deserve oscar 😂😂,0.5
Love you Bassi bro ❤❤,0.5
outstanding performance  bassi bahi    luv from jammu ................,0.5
My grand salute to you officer🫡🫡,0.5
No one is better than Bassi ❤,0.5
Bhai sahab 😂😂😂😂 the og content of comedy  want more video like this,0.5
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=1m11s"">1:11</a> ye mast tha..🤣😂🤣20% wapas krke awaooo CBSE board ko.. <br><a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=4m00s"">4:00</a> Momos 😂😂😂😝Jiska exam nhi nikalta o momos lga leta ho<br><a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=11m00s"">11:00</a> Best movement 😝😂😝<br>😝😂😂 Same feeling <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=13m25s"">13:25</a> + <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=14m40s"">14:40</a> 😂😝😂🤣<br><a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=17m30s"">17:30</a> Alarm🤣😝😂 <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=25m45s"">25:45</a><br>😂😂🤣👌😂😝<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=26m56s"">26:56</a> well done officer<br><a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=30m20s"">30:20</a> 🤣😂😝🔥<br><a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=33m52s"">33:52</a> Baat to shi hai..😂🤣😝😂<br>तरह के ऊँट तैर सकता है <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=34m15s"">34:15</a> 😂😜😂<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=35m25s"">35:25</a>😜🤣😂OMR sheet😝<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=36m14s"">36:14</a>😜😝😂🤣😂🤣😂🤣😝🤣😂",0.5
Hilarious 😆❤️,0.5
Epic...😂😂😂🤣🤣... outstanding,0.5
Salute officer for this hilarious comedy,0.5
What a way to narrate relatable story with humour...Hats off!! Enjoyed every moment of it.,0.5
oooohhhh ho outstanding ❤❤,0.5
❤❤❤🎉Bassi Bhai Your Sence of Humor is better than Kapil sharma❤🎉🎉,0.5
Bhai you’re love ❤,0.5
Lengendary performance. Nonstop comedy 37 minutes. No boring part. Unbeatable 🤯🤯,0.5
One of the most funniest stand up comedy I have ever seen❤❤❤<br>Main ne kabhi itni barr video pause nahi Kiya pahela haste haste😂😂,0.5
Suppbb👌💫..lots of love from gujarat,0.5
Love from meerut ❤,0.5
😂😂😂 hilarious,0.5
Bhai saab.... Kitne time mai khul k hsa hu es video ko dekh kr... I love it❤,0.5
"Love you brother,bhot hasya aaj",0.5
Love u Bassi❤,0.5
Love you bhai ❤,0.5
He is that friend who lies but his lies are interesting 😂🤌,0.5
Abhishek upmanyu and bassi top class bakhod hai😂😂😂😂😂,0.5
1.2 million views in just 4 hours..🎉🎉🎉.<br>This shows how famous Bassi Bhai is... 💯,0.5
bassi on top,0.5
Who was watching more than 2 times ❤😁,0.5
Love you pajji,0.5
No one can beat you brother but gali thori km kr dijiye baki love the videos ❤,0.5
"To anybody reading this, I pray that whatever is<br>hurting you or whatever you are constantly<br>stressing about gets better ❤",0.5
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=22m33s"">22:33</a> hilarious 😂😂",0.5
Phenomenal,0.5
Bro where can I watch more videos?,0.5
Sir love u,0.5
I love upsc,0.5
Top.,0.5
love You men,0.5
Top,0.5
Best ❤. Very Entertaining half hour,0.4944444444444444
"Thanks, for this song , very nice video",0.49
Your story-telling talent was so unique and amazing. No one can beat you.,0.48750000000000004
He&#39;s talking about the 2016 upsc prelims paper. The paper was damn factual  and cutoff was all time high 😅 great storytelling with humour and relatable too.,0.48000000000000004
"One of the best show after a long time, in 37.25mnt mai i can&#39;t stop lauging myself.",0.475
Ye video ab Tak me 4 baar dekh chuki hu aur jitna dekhti hu utni funny lagti h loved it😂❤,0.475
&quot;Unth taer raha hai!!&quot; 😂😂😂😂 Broooo you are simply awesome!! Long way to go Officer!!! Take love from Kolkata!! Can&#39;t wait to catch up live at Nazrul Mancha!! ❤❤❤❤,0.47416548295454547
It was pure comedy...just loved it..Bassi looking for more 🎉,0.47142857142857136
This is amazingly fresh and untouched ..... Hilarious as well as as full of humour.... Loved every bit ....😂😂😂,0.46249999999999997
His storytelling is awesome. He just kept the audience for 37 minutes in the era of 15 sec video... ❤...,0.45
Bassi o my God you are amazing story teller plz make a video  on monthly bases I love the way when you speak in a funny way,0.45
I spent 74 minutes...37 on watching and rest on reading comments.....both parts were awesome ❤,0.45
kisi kisi jgh aapka tone sunny deol sir k jaisa lgta h ...............which makes you sound more funnyyyyyyy😂😂,0.45
"Haven&#39;t laughed this much in 7 years, Hats Off",0.44999999999999996
"I can&#39;t believe I have laughed my heart out for the whole 37minutes, Salute to you Officer 🤣🤣🤣",0.44999999999999996
he has really a damn good sense of humour.i luv u man❤️❤️,0.44999999999999996
"I can&#39;t believe I have laughed my heart out for the whole 37 minutes, Salute to you Officer 🤣🤣<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",0.44999999999999996
"My father asked my mother to make anda curry and I showed my whole family <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=25m05s"">25:05</a> and they all laughed ❤🧿",0.44999999999999996
I can&#39;t believe I have laughed my heart out for the whole 37minutes,0.44999999999999996
"I am waiting when artist will make video out of Anubhav&#39;s UPSC version 😅 i can imagine whole scene while listening he is so good at story telling <a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=8m48s"">8:48</a>",0.44999999999999996
